row_type,scenario_name,status,metric_or_queue_ordinal,value_or_preset_name,unit_or_case_name,query_advance_ratio_j,query_rpm,minimum_neighbor_rows_required,lookup_run_authorized,result_evidence_present,observed_neighbor_rows,ct_coefficient,cp_coefficient,eta,max_ct_shape_overshoot,min_cp_coefficient,max_eta_residual,static_anchor_error,archive_curve_shape_guard_inherited,acceptance_result_ready,acceptance_result_passed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required before result evidence can be trusted
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Target-Run-Queue-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-authorized-lab-lookup-targets-with-reviewed-ct-cp-j-payloads,run queue supplies authorized and blocked lab targets
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,execution contract defines CT CP eta and guard result fields
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,acceptance gate consumes only complete result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy supplies query J RPM and neighbor thresholds
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Review-Handoff-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,reviewed coefficient payload remains upstream evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,surface fit handoff carries curve-shape diagnostics into execution
propeller_archive_ct_cp_j_lookup_execution_result_seed_source,source,READY,caveat,result-seeds-no-runtime-authority,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,result seeds never mutate runtime physics
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,4,apDrone,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,5,apDrone,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,6,apDrone,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,7,heavyLift,static_anchor_low_rpm,0,1060,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,8,heavyLift,mid_domain_mid_rpm,0.3335,4250,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,current_payload_and_surface_fit_blocked,UNAVAILABLE,9,heavyLift,high_domain_max_rpm,0.6003,7440,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seed unavailable before lab authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,4,apDrone,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,5,apDrone,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,6,apDrone,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,7,heavyLift,static_anchor_low_rpm,0,1060,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,8,heavyLift,mid_domain_mid_rpm,0.3335,4250,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_ready_surface_fit_blocked,UNAVAILABLE,9,heavyLift,high_domain_max_rpm,0.6003,7440,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload-only state still lacks surface fit execution row
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,4,apDrone,static_anchor_low_rpm,0,1477.8,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,5,apDrone,mid_domain_mid_rpm,0.4064,4712.25,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,6,apDrone,high_domain_max_rpm,0.73152,7946.7,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,7,heavyLift,static_anchor_low_rpm,0,1060,1,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,8,heavyLift,mid_domain_mid_rpm,0.3335,4250,4,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,surface_fit_ready_payload_blocked,UNAVAILABLE,9,heavyLift,high_domain_max_rpm,0.6003,7440,2,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface-fit-only state still lacks reviewed coefficient payload
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,4,apDrone,static_anchor_low_rpm,0,1477.8,1,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,5,apDrone,mid_domain_mid_rpm,0.4064,4712.25,4,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,6,apDrone,high_domain_max_rpm,0.73152,7946.7,2,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,7,heavyLift,static_anchor_low_rpm,0,1060,1,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,8,heavyLift,mid_domain_mid_rpm,0.3335,4250,4,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed,payload_and_surface_fit_ready,PENDING_RESULT,9,heavyLift,high_domain_max_rpm,0.6003,7440,2,true,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lab seed awaits CT CP J result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,scenario_count,4,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,four readiness scenarios contribute result seed rows
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,seed_row_count,36,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,all run queue targets have result seed slots
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,current_unavailable_seed_count,9,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current seeds are unavailable
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,current_pending_result_seed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state cannot wait for results before authorization
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,current_acceptance_result_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state has no acceptance-ready result
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,max_pending_result_seed_count,9,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,synthetic all-ready queue has nine pending result seeds
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,max_acceptance_result_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no audit seed includes real result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,max_full_simulation_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no full simulation seed is acceptance-ready
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,max_performance_only_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no performance-only seed is acceptance-ready
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,max_static_anchor_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no static anchor seed is acceptance-ready
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,evidence_present_seed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,audit carries no measured lookup result evidence
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,acceptance_result_ready_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no result can feed acceptance yet
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,failed_result_seed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,fix-lookup-execution-result-before-acceptance,no failed result evidence has been collected
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,compact_reference_export_allowed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-compact-reference-before-playable-handoff,compact reference export remains closed
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,runtime_coupling_allowed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no seed can mutate runtime physics
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,gameplay_auto_apply_allowed_count,0,count,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no seed can auto apply gameplay tuning
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,first_pending_scenario,payload_and_surface_fit_ready,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,first scenario with authorized lab rows
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,first_ready_scenario,none,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,no scenario is acceptance-ready in the audit
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,current_status,UNAVAILABLE,status,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current result seed status
propeller_archive_ct_cp_j_lookup_execution_result_seed_summary,all,UNAVAILABLE,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current result seed follows upstream authorization blocker
propeller_archive_ct_cp_j_lookup_execution_result_seed_method,result_seed_rule,READY,method,authorized-run-plus-execution-result-plus-acceptance-guards,text,0,0,0,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,only authorized run rows with matching accepted execution evidence may become acceptance-ready
